2015-12-15 16:49:42.6605|Info|Sensor.MainWindow..ctor| message :  Avvio Applicazione: Sensor 1.0.0.0 
2015-12-15 16:50:20.6796|Info|Sensor.ConnectionSetAndOpen.SetParity| message :  Setting Parity: None 
2015-12-15 16:50:20.6796|Info|Sensor.ConnectionSetAndOpen.SetStopBits| message :  Setting StopBits: Two 
2015-12-15 16:50:20.8358|Error|Sensor.ConnectionSetAndOpen.OpenSerialPort| message :  System.IO.IOException: La porta 'COM3' non esiste.
   in System.IO.Ports.InternalResources.WinIOError(Int32 errorCode, String str)
   in System.IO.Ports.SerialStream..ctor(String portName, Int32 baudRate, Parity parity, Int32 dataBits, StopBits stopBits, Int32 readTimeout, Int32 writeTimeout, Handshake handshake, Boolean dtrEnable, Boolean rtsEnable, Boolean discardNull, Byte parityReplace)
   in System.IO.Ports.SerialPort.Open()
   in Sensor.ConnectionSetAndOpen.OpenSerialPort(ModelAndNameDevice& device) in E:\Dottorato\Sensor\PrimoStep\SW\Sensor\Sensor\Connection\ConnectionSetAndOpen.cs:riga 150 
2015-12-15 16:50:20.8514|Info|Sensor.ConnectionSetAndOpen.SetParity| message :  Setting Parity: None 
2015-12-15 16:50:20.8514|Info|Sensor.ConnectionSetAndOpen.SetStopBits| message :  Setting StopBits: Two 
2015-12-15 16:50:20.8671|Error|Sensor.ConnectionSetAndOpen.OpenSerialPort| message :  System.IO.IOException: La porta 'COM3' non esiste.
   in System.IO.Ports.InternalResources.WinIOError(Int32 errorCode, String str)
   in System.IO.Ports.SerialStream..ctor(String portName, Int32 baudRate, Parity parity, Int32 dataBits, StopBits stopBits, Int32 readTimeout, Int32 writeTimeout, Handshake handshake, Boolean dtrEnable, Boolean rtsEnable, Boolean discardNull, Byte parityReplace)
   in System.IO.Ports.SerialPort.Open()
   in Sensor.ConnectionSetAndOpen.OpenSerialPort(ModelAndNameDevice& device) in E:\Dottorato\Sensor\PrimoStep\SW\Sensor\Sensor\Connection\ConnectionSetAndOpen.cs:riga 150 
2015-12-15 16:50:20.8983|Info|Sensor.ConnectionSetAndOpen.DoBeginAcceptSocket| message :  Waiting for a connection 127.0.0.1:7000 
2015-12-15 16:50:20.9296|Debug|Sensor.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_IDLE 
2015-12-15 16:50:21.9347|Debug|Sensor.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_IDLE 
2015-12-15 16:50:22.9358|Debug|Sensor.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_IDLE 
2015-12-15 16:50:23.9368|Debug|Sensor.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_IDLE 
2015-12-15 16:50:24.9379|Debug|Sensor.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_IDLE 
2015-12-15 16:50:25.9390|Debug|Sensor.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_IDLE 
2015-12-15 16:50:26.9400|Debug|Sensor.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_IDLE 
2015-12-15 16:50:27.9405|Debug|Sensor.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_IDLE 
2015-12-15 16:50:28.9419|Debug|Sensor.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_IDLE 
2015-12-15 16:50:29.9465|Debug|Sensor.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_IDLE 
2015-12-15 16:50:30.9478|Debug|Sensor.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_IDLE 
2015-12-15 16:50:30.9738|Debug|Sensor.TickData.pollLoop| message :  Num Message To send: 9 
2015-12-15 16:50:30.9738|Debug|Sensor.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_WRITE_MESSAGE 
2015-12-15 16:50:30.9738|Debug|Sensor.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_IDLE 
2015-12-15 16:50:30.9738|Debug|Sensor.TickData.pollLoop| message :  Num Message To send: 8 
2015-12-15 16:50:30.9738|Debug|Sensor.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_WRITE_MESSAGE 
2015-12-15 16:50:30.9738|Debug|Sensor.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_IDLE 
2015-12-15 16:50:30.9738|Debug|Sensor.TickData.pollLoop| message :  Num Message To send: 7 
2015-12-15 16:50:30.9738|Debug|Sensor.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_WRITE_MESSAGE 
2015-12-15 16:50:30.9738|Debug|Sensor.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_IDLE 
2015-12-15 16:50:30.9738|Debug|Sensor.TickData.pollLoop| message :  Num Message To send: 6 
2015-12-15 16:50:30.9738|Debug|Sensor.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_WRITE_MESSAGE 
2015-12-15 16:50:30.9738|Debug|Sensor.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_IDLE 
2015-12-15 16:50:30.9818|Debug|Sensor.TickData.pollLoop| message :  Num Message To send: 5 
2015-12-15 16:50:30.9818|Debug|Sensor.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_WRITE_MESSAGE 
2015-12-15 16:50:30.9818|Debug|Sensor.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_IDLE 
2015-12-15 16:50:30.9818|Debug|Sensor.TickData.pollLoop| message :  Num Message To send: 4 
2015-12-15 16:50:30.9818|Debug|Sensor.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_WRITE_MESSAGE 
2015-12-15 16:50:30.9818|Debug|Sensor.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_IDLE 
2015-12-15 16:50:30.9818|Debug|Sensor.TickData.pollLoop| message :  Num Message To send: 3 
2015-12-15 16:50:30.9818|Debug|Sensor.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_WRITE_MESSAGE 
2015-12-15 16:50:30.9818|Debug|Sensor.TickData.pollLoop| message :  STATE_MACHINE_STATE.S_IDLE 
2015-12-15 16:50:30.9818|Debug|Sensor.TickData.pollLoop| message :  Num Message To send: 2 
